Player,Archetype,Round 1,        ,Round 2,,Round 3,,Round 4,,Round 5,,Round 6,,Round 7,,Round 8,,Round 9 ,,Round 10 ,,Round 11,,Round 12,,Round 13,,Round 14,,Round 15,,,,Final Standing
CookieKid00,UR Delver,EddDeedoo,2-1,Kuangge,1-2,namo_g,2-0,JPA93,2-1,buildorburn,2-1,kiyoaggro,2-1,tom_basketball,2-1,medvedev,0-2,,,,,,,,,,,,,,,,,79
GreatApe,White Stompy,Koike,2-1,gatekappa,0-2,gouafhg,2-0,aarong,2-0,yoshiwata,1-2,Foheo,2-1,ik1cksquirrels,0-2,Martinho1111,2-1,abombdiggity,1-2,snoopy-magic,2-1,,,,,,,,,,,,,80
wildespony,Sneak and Show,OnlyLandsDotCom,1-2,Dreddybajs,2-0,Schiaveto,2-1,ForThoseWhoHaveHeart,2-1,gatekappa,0-2,Phizzle,2-0,Kosame,1-2,piao,1-2,MahfuzVanGogh,2-1,Martinho1111,2-1,,,,,,,,,,,,,81
buildorburn,TES,gouafhg,2-1,nevilshute,1-2,morpheus38,2-0,MahfuzVanGogh,2-0,CookieKid00,1-2,Darkmattergun,2-0,kiyoaggro,0-2,416FrowningTable,0-2,Martin_Dominguez,2-1,WingedHussar,2-0,,,,,,,,,,,,,82
Yorsh,Reanimator,RespecttheCat,2-1,snoopy-magic,1-2,RUDEN1414,1-2,Fuz65,2-0,Testacular,2-0,Misterkle,2-1,Killabee,1-2,Qwupuf,0-2,tao_bye_bye,2-0,P4UM,2-0,,,,,,,,,,,,,83
ganesh_69,Painter,Krisuu889,2-0,Delthar,0-2,sfz,0-2,taka1208,2-1,D00mwake,2-0,KenV21,2-0,_Batutinha_,0-2,MeTheKaptain,0-2,TheDullard,2-0,Darkmattergun,2-0,,,,,,,,,,,,,84
Didisoso91,UR Delver,TERANO,0-2,duster6060,2-0,excel0679,1-2,Violent_Outburst,2-0,seblba,2-1,joker10289,0-2,Smradd,2-0,Xen0neb,2-1,Darkmattergun,2-0,Alakazimdk,1-2,,,,,,,,,,,,,85
Fuz65,Doomsday,ReformedPaolo,1-2,gomashio,1-2,BlackDragonLars,2-1,Yorsh,0-2,Jydehem,2-1,tom533,2-1,El Lobo,2-0,P4UM,1-2,tpc2000,2-0,MM_17,2-0,,,,,,,,,,,,,86
seblba,UR Delver,Hampuse1,2-1,Swiftclaw_,2-1,Vansguy,0-2,Wings_Style_Spartan,1-2,Didisoso91,1-2,Testacular,2-1,Darkmattergun,0-2,filthy_casuals,2-0,Udon1590,2-0,Qwupuf,2-0,,,,,,,,,,,,,87
swayjisse,Other Permanent Combo,wara,0-2,nditiz1,1-2,CracklingDoom,2-0,Whispering,2-1,marceliiine,0-2,PohTayToes,2-1,3putt,2-1,kashf,1-2,Raikonette,2-0,TrincoTeq,2-1,,,,,,,,,,,,,88
DragonDayDragon,Other Spell Combo,johnsmith3373,1-2,mtgvins,2-0,dull04,0-2,yashimoro,2-0,Aerien_sol,2-1,larkblue,0-2,tao_bye_bye,2-1,manadra1n,2-0,416FrowningTable,2-1,Tjbrown329,2-1,,,,,,,,,,,,,89
Killabee,Other Permanent Combo,Xen0neb,2-1,hktknbr,2-1,yoshiwata,2-1,XxShuicunexX,2-0,utley26,0-2,Oceansoul92,0-2,Yorsh,2-1,1mrlee,1-2,,,,,,,,,,,,,,,,,90
